code,dividPreNoticeDate,dividAgmPumDate,dividPlanAnnounceDate,dividPlanDate,dividRegistDate,dividOperateDate,dividPayDate,dividStockMarketDate,dividCashPsBeforeTax,dividCashPsAfterTax,dividStocksPs,dividCashStock,dividReserveToStockPs,dividend_per_share,ex_date
sh.600519,,2020-06-11,2020-04-22,2020-06-18,2020-06-23,2020-06-24,2020-06-24,,17.025,15.3225或17.025,0.000000,10派170.25元（含税，扣税后153.225或170.25元）,,17.025,2020-06-23
sh.600519,,2021-06-10,2021-03-31,2021-06-21,2021-06-24,2021-06-25,2021-06-25,,19.293,17.3637或19.293,0.000000,10派192.93元（含税，扣税后173.637或192.93元）,,19.293,2021-06-24
sh.600519,,2022-06-17,2022-03-31,2022-06-24,2022-06-29,2022-06-30,2022-06-30,,21.675,19.5075或21.675,0.000000,10派216.75元（含税，扣税后195.075或216.75元）,,21.675,2022-06-29
sh.600519,,2023-06-14,2023-03-31,2023-06-26,2023-06-29,2023-06-30,2023-06-30,,25.911,23.3199或25.911,0.000000,10派259.11元（含税，扣税后233.199或259.11元）,,25.911,2023-06-29
sh.600519,,2024-05-30,2024-04-03,2024-06-12,2024-06-18,2024-06-19,2024-06-19,,30.876,27.7884或30.876,0.000000,10派308.76元（含税，扣税后277.884或308.76元）,,30.876,2024-06-18
sh.600519,,2024-11-28,2024-11-09,2024-12-14,2024-12-19,2024-12-20,2024-12-20,,23.882,21.4938或23.882,0.000000,10派238.82元（含税，扣税后214.938或238.82元）,,23.882,2024-12-19
sh.600519,,2025-05-20,2025-04-03,2025-06-20,2025-06-25,2025-06-26,2025-06-26,,27.673,24.9057或27.673,0.000000,10派276.73元（含税，扣税后249.057或276.73元）,,27.673,2025-06-25
sh.600519,,2025-11-29,2025-11-06,2025-12-11,2025-12-18,2025-12-19,2025-12-19,,23.957,21.5613或23.957,0.000000,10派239.57元（含税，扣税后215.613或239.57元）,,23.957,2025-12-18
