code,dividPreNoticeDate,dividAgmPumDate,dividPlanAnnounceDate,dividPlanDate,dividRegistDate,dividOperateDate,dividPayDate,dividStockMarketDate,dividCashPsBeforeTax,dividCashPsAfterTax,dividStocksPs,dividCashStock,dividReserveToStockPs,dividend_per_share,ex_date
sh.601138,,2020-05-29,2020-03-31,2020-06-20,2020-06-29,2020-06-30,2020-06-30,,0.2,0.18或0.2,0.000000,10派2元（含税，扣税后1.8或2元）,,0.2,2020-06-29
sh.601138,,2021-06-09,2021-03-30,2021-07-20,2021-07-26,2021-07-27,2021-07-27,,0.25,0.225或0.25,0.000000,10派2.5元（含税，扣税后2.25或2.5元）,,0.25,2021-07-26
sh.601138,,2022-06-24,2022-03-23,2022-07-30,2022-08-04,2022-08-05,2022-08-05,,0.5,0.45或0.5,0.000000,10派5元（含税，扣税后4.5或5元）,,0.5,2022-08-04
sh.601138,,2023-06-03,2023-03-15,2023-07-22,2023-07-27,2023-07-28,2023-07-28,,0.55,0.495或0.55,0.000000,10派5.5元（含税，扣税后4.95或5.5元）,,0.55,2023-07-27
sh.601138,,2024-06-25,2024-03-14,2024-08-08,2024-08-14,2024-08-15,2024-08-15,,0.58,0.522或0.58,0.000000,10派5.8元（含税，扣税后5.22或5.8元）,,0.58,2024-08-14
sh.601138,,2025-06-20,2025-04-30,2025-07-24,2025-07-30,2025-07-31,2025-07-31,,0.64,0.576或0.64,0.000000,10派6.4元（含税，扣税后5.76或6.4元）,,0.64,2025-07-30
sh.601138,,2025-11-25,2025-08-11,2026-01-09,2026-01-15,2026-01-16,2026-01-16,,0.33,0.297或0.33,0.000000,10派3.3元（含税，扣税后2.97或3.3元）,,0.33,2026-01-15
