,code,dividPreNoticeDate,dividAgmPumDate,dividPlanAnnounceDate,dividPlanDate,dividRegistDate,dividOperateDate,dividPayDate,dividStockMarketDate,dividCashPsBeforeTax,dividCashPsAfterTax,dividStocksPs,dividCashStock,dividReserveToStockPs,dividend_per_share,ex_date
0,sz.002594,,2020-06-24,2020-04-22,2020-08-12,2020-08-17,2020-08-18,2020-08-18,,0.06,0.054或0.06,0.000000,10派0.6元（含税，扣税后0.54或0.6元）,,0.06,2020-08-17
1,sz.002594,,2021-06-09,2021-03-30,2021-07-30,2021-08-05,2021-08-06,2021-08-06,,0.148,0.1332或0.148,0.000000,10派1.48元（含税，扣税后1.332或1.48元）,,0.148,2021-08-05
2,sz.002594,,2021-06-09,2021-03-30,2021-07-30,2021-08-05,2021-08-06,2021-08-06,,0.148,0.1332或0.148,0.000000,10派1.48元（含税，扣税后1.332或1.48元）,,0.148,2021-08-05
3,sz.002594,,2022-06-09,2022-03-30,2022-07-22,2022-07-28,2022-07-29,2022-07-29,,0.105,0.0945或0.105,0.000000,10派1.05元（含税，扣税后0.945或1.05元）,,0.105,2022-07-28
4,sz.002594,,2023-06-09,2023-03-29,2023-07-20,2023-07-27,2023-07-28,2023-07-28,,1.142,1.0278或1.142,0.000000,10派11.42元（含税，扣税后10.278或11.42元）,,1.142,2023-07-27
5,sz.002594,,2024-06-07,2024-03-27,2024-07-20,2024-07-26,2024-07-29,2024-07-29,,3.097772,2.787995或3.0977722,0.000000,10派30.977722元（含税，扣税后27.87995或30.977722元）,,3.097772,2024-07-26
6,sz.002594,,2025-06-07,2025-04-23,2025-07-22,2025-07-28,2025-07-29,2025-07-29,2025-07-29,3.974,3.4966或3.974,0.800000,10转12送8派39.74元（含税，扣税后34.966或39.74元）,1.200000,3.974,2025-07-28
