date,code,open,high,low,close,volume,amount,turn,pctChg
2020-01-02,sh.601138,15.56103354,15.73931052,15.37426718,15.60348044,58251772,1070536101.0,3.1679,0.6021
2020-01-03,sh.601138,15.69686362,15.82420432,15.3233309,15.46765036,46561908,849403951.0,2.5322,-0.8705
2020-01-06,sh.601138,15.28937338,15.39124594,15.0262026,15.1959902,56504682,1012684091.0,3.0729,-1.7563
2020-01-07,sh.601138,15.21296896,15.22994772,14.95828756,15.16203268,50276647,893421101.0,2.7342,-0.2235
2020-01-08,sh.601138,14.95828756,15.04318136,14.73756368,14.87339376,50746445,888363238.0,2.7597,-1.9037
2020-01-09,sh.601138,14.9837557,15.5780123,14.9837557,15.5355654,78983020,1430327321.0,4.2953,4.452
2020-01-10,sh.601138,15.62894858,15.78175742,15.2384371,15.30635214,37985462,688948847.0,2.0658,-1.4754
2020-01-13,sh.601138,15.29786276,15.8751406,15.08562826,15.79873618,65030999,1193145684.0,3.5366,3.2169
2020-01-14,sh.601138,15.8326937,15.98550254,15.58650168,15.61196982,46355969,862049876.0,2.521,-1.1822
2020-01-15,sh.601138,15.5780123,15.94305564,15.5355654,15.8751406,40945377,760151120.0,2.2267,1.6857
2020-01-16,sh.601138,15.8326937,16.01946006,15.61196982,15.62894858,40469452,751174847.0,2.2008,-1.5508
2020-01-17,sh.601138,15.62894858,16.22320518,15.52707602,16.12133262,64639886,1214813947.0,3.5153,3.1505
2020-01-20,sh.601138,16.02794944,16.52033348,15.89211936,16.41846092,58199566,1116361931.0,3.1651,1.8431
2020-01-21,sh.601138,16.2996096,16.46090782,16.02794944,16.20622642,46362445,885043833.0,2.5213,-1.2927
2020-01-22,sh.601138,16.0449282,17.827698,15.7902468,17.7003573,91715769,1827720400.0,4.9878,9.2195
2020-01-23,sh.601138,17.403229,17.64093164,16.4693972,16.97876,74880577,1503553341.0,4.0722,-4.0767
2020-02-03,sh.601138,15.280884,15.280884,15.280884,15.280884,14286600,257158800.0,0.7769,-10.0
2020-02-04,sh.601138,14.5168398,15.68837424,14.5168398,15.29786276,94608171,1687452214.0,5.1451,0.1111
2020-02-05,sh.601138,15.41671408,16.63069542,15.21296896,15.86665122,84368574,1586448405.0,4.5882,3.7181
2020-02-06,sh.601138,15.73931052,16.18075828,15.67139548,16.06190696,53236617,999594721.0,2.8952,1.2306
2020-02-07,sh.601138,16.8938662,16.8938662,15.82420432,16.3845034,103233236,1987654479.0,5.6141,2.0085
2020-02-10,sh.601138,16.0449282,16.07888572,15.4506716,16.05341758,86790142,1612161781.0,4.7199,-2.0207
2020-02-11,sh.601138,15.96852378,16.46090782,15.92607688,16.32507774,73047999,1393812100.0,3.9726,1.6922
2020-02-12,sh.601138,16.19773704,16.3420565,15.97701316,16.2571627,54930307,1046295627.0,2.9873,-0.416
2020-02-13,sh.601138,16.22320518,16.22320518,15.60348044,15.63743796,84722452,1577966599.0,4.6075,-3.812
2020-02-14,sh.601138,15.50160788,15.9175875,15.24692648,15.5780123,79123229,1448287978.0,4.3029,-0.38
2020-02-17,sh.601138,15.65441672,16.35054588,15.46765036,16.29112022,82865252,1564564229.0,4.5065,4.5777
2020-02-18,sh.601138,16.2996096,16.2996096,15.7902468,16.0024813,85895400,1621012733.0,4.6712,-1.7718
2020-02-19,sh.601138,15.8326937,15.9600344,15.67139548,15.69686362,67160239,1250139127.0,3.6524,-1.9098
2020-02-20,sh.601138,15.78175742,16.14680076,15.47613974,15.96852378,99567372,1858929174.0,5.4148,1.7307
2020-02-21,sh.601138,15.84967246,16.70709984,15.80722556,16.6391848,130698063,2522345791.0,7.1077,4.1999
2020-02-24,sh.601138,16.7665255,17.4881228,16.5967379,17.09761132,137846417,2760684416.0,7.4965,2.7551
2020-02-25,sh.601138,16.6816317,17.22495202,16.10435386,16.94480248,116712016,2302400791.0,6.3471,-0.8937
2020-02-26,sh.601138,16.5967379,16.62220604,15.72233176,15.88362998,111767567,2137561124.0,6.0782,-6.2625
2020-02-27,sh.601138,15.82420432,16.15529014,15.5780123,16.0449282,68353460,1277517830.0,3.7173,1.0155
2020-02-28,sh.601138,15.34879904,15.65441672,14.44043538,14.49986104,115905757,2035573869.0,6.3033,-9.6296
2020-03-02,sh.601138,14.6866274,15.06016012,14.3046053,14.80547872,95153301,1649933620.0,5.1747,2.1077
2020-03-03,sh.601138,15.13656454,15.4082247,14.6017336,14.80547872,89968854,1594423490.0,4.8928,0.0
2020-03-04,sh.601138,14.62720174,14.71209554,13.93956196,14.22820088,113507367,1914633664.0,6.1729,-3.8991
2020-03-05,sh.601138,14.5168398,14.6441805,14.27064778,14.56777608,87574496,1492182203.0,4.7626,2.3866
2020-03-06,sh.601138,14.28762654,14.62720174,14.1772646,14.42345662,66748706,1133057309.0,3.63,-0.9907
2020-03-09,sh.601138,14.16028584,14.24517964,13.71883808,13.73581684,71128402,1169356599.0,3.8682,-4.7675
2020-03-10,sh.601138,13.56602924,14.0923708,13.40473102,14.08388142,71182423,1157534574.0,3.8711,2.534
2020-03-11,sh.601138,14.15179646,14.57626546,14.02445576,14.04143452,68270833,1151262378.0,3.7128,-0.3014
2020-03-12,sh.601138,13.7952425,13.87164692,13.43868854,13.6679018,67976365,1090709840.0,3.6968,-2.6602
2020-03-13,sh.601138,12.88687884,13.57451862,12.7765169,13.2858797,85098364,1321246987.0,4.6279,-2.795
2020-03-16,sh.601138,13.31134784,13.36228412,12.02945146,12.1398134,123836633,1845807303.0,6.7346,-8.6262
2020-03-17,sh.601138,12.21621782,12.38600542,11.2908754,11.80872758,92974479,1291392797.0,5.0562,-2.7273
2020-03-18,sh.601138,11.9275789,12.11434526,11.49462052,11.51159928,70470996,984491838.0,3.8324,-2.5162
2020-03-19,sh.601138,11.5031099,11.6728975,11.036194,11.46915238,88215253,1181709847.0,4.7974,-0.3687
2020-03-20,sh.601138,11.61347184,11.68987626,11.28238602,11.52008866,64673456,874463114.0,3.5171,0.4441
2020-03-23,sh.601138,11.1210878,11.18900284,10.62021438,10.62870376,94143376,1205081379.0,5.1198,-7.7377
2020-03-24,sh.601138,10.8239595,11.11259842,10.54380996,11.05317276,90752716,1162821440.0,4.9354,3.9936
2020-03-25,sh.601138,11.3757692,11.5455568,11.2484285,11.5031099,92307384,1241899447.0,5.0199,4.0707
2020-03-26,sh.601138,11.38425858,11.47764176,11.2484285,11.28238602,51742620,691446261.0,2.8139,-1.9188
2020-03-27,sh.601138,11.460663,11.5031099,11.07015152,11.09561966,67849085,897665602.0,3.6898,-1.6554
2020-03-30,sh.601138,10.90036392,10.97676834,10.55229934,10.88338516,62592932,794639881.0,3.404,-1.9128
2020-03-31,sh.601138,11.28238602,11.2908754,11.06166214,11.21447098,63141721,832023009.0,3.4338,3.0421
2020-04-01,sh.601138,11.14655594,11.65591874,11.13806656,11.38425858,79117654,1065901701.0,4.3026,1.514
2020-04-02,sh.601138,11.32483292,11.94455766,11.31634354,11.86815324,85523651,1171735381.0,4.651,4.2506
2020-04-03,sh.601138,11.8002382,12.12283464,11.60498246,11.85117448,76341255,1066775286.0,4.1517,-0.1431
2020-04-07,sh.601138,12.1822603,12.2247072,11.90211076,12.0124727,76286352,1081042360.0,4.1487,1.361
2020-04-08,sh.601138,11.9275789,12.11434526,11.8426851,12.00398332,49206743,693769990.0,2.676,-0.0707
2020-04-09,sh.601138,12.02945146,12.07189836,11.82570634,11.8426851,42160129,591859182.0,2.2928,-1.3437
2020-04-10,sh.601138,11.83419572,11.83419572,11.460663,11.56253556,47111303,645617190.0,2.562,-2.3656
2020-04-13,sh.601138,11.40972672,11.40972672,11.07015152,11.1635347,45310149,598645510.0,2.4641,-3.4508
2020-04-14,sh.601138,11.27389664,11.74081254,11.23144974,11.72383378,59588790,807993225.0,3.2406,5.019
2020-04-15,sh.601138,11.72383378,11.9275789,11.66440812,11.77477006,51241150,711242240.0,2.7866,0.4345
2020-04-16,sh.601138,11.6728975,11.97851518,11.52008866,11.9275789,54574016,759852481.0,2.9679,1.2978
2020-04-17,sh.601138,12.07189836,12.21621782,11.85966386,11.87664262,72117246,1023267949.0,3.9219,-0.427
2020-04-20,sh.601138,11.93606828,12.28413286,11.80872758,12.28413286,72897375,1040937001.0,3.9644,3.431
2020-04-21,sh.601138,12.1398134,12.19074968,11.8426851,12.02096208,54749632,774211380.0,2.9774,-2.1424
2020-04-22,sh.601138,11.93606828,11.9700258,11.79174882,11.93606828,36032297,504479037.0,1.9595,-0.7062
2020-04-23,sh.601138,12.0973665,12.10585588,11.81721696,11.85117448,33195939,466870786.0,1.8053,-0.7112
2020-04-24,sh.601138,11.85117448,12.02096208,11.78325944,11.8426851,35531223,497676484.0,1.9323,-0.0716
2020-04-27,sh.601138,11.885132,12.00398332,11.64742936,11.8426851,31831099,444348843.0,1.7311,0.0
2020-04-28,sh.601138,11.89362138,12.20772844,11.44368424,12.06340898,69615518,979092432.0,3.7859,1.8638
2020-04-29,sh.601138,12.02096208,12.16528154,11.97851518,12.08887712,32676795,464891222.0,1.7771,0.2111
2020-04-30,sh.601138,12.14830278,12.55579302,12.11434526,12.47089922,66647037,973308738.0,3.6245,3.1601
2020-05-06,sh.601138,12.25017534,12.58126116,12.21621782,12.53032488,59989954,875817500.0,3.2624,0.4765
2020-05-07,sh.601138,12.5218355,12.63219744,12.15679216,12.20772844,52370178,761131214.0,2.848,-2.5745
2020-05-08,sh.601138,12.29262224,12.3944948,12.17377092,12.25866472,48597704,702469145.0,2.6429,0.4172
2020-05-11,sh.601138,12.309601,12.47089922,12.1822603,12.32657976,47452463,687902774.0,2.5806,0.554
2020-05-12,sh.601138,12.2671541,12.2671541,11.96153642,12.08038774,38824300,551811515.0,2.1114,-1.9973
2020-05-13,sh.601138,11.9700258,12.08038774,11.885132,12.03794084,29533640,417694766.0,1.6061,-0.3514
2020-05-14,sh.601138,11.94455766,11.99549394,11.59649308,11.62196122,64548175,894065325.0,3.5103,-3.4556
2020-05-15,sh.601138,11.66440812,11.81721696,11.52857804,11.70685502,36716523,505467611.0,1.9968,0.7305
2020-05-18,sh.601138,11.57102494,11.6304506,11.2908754,11.45217362,45978840,619925031.0,2.4615,-2.1755
2020-05-19,sh.601138,11.49462052,11.70685502,11.49462052,11.69836564,36280155,497468894.0,1.9423,2.1497
2020-05-20,sh.601138,11.70685502,11.8426851,11.55404618,11.7577913,33580567,464336859.0,1.7977,0.508
2020-05-21,sh.601138,11.78325944,11.85117448,11.52008866,11.5455568,28003380,385497840.0,1.4992,-1.8051
2020-05-22,sh.601138,11.52857804,11.66440812,11.23144974,11.25691788,34113198,457353104.0,1.8263,-2.5
2020-05-25,sh.601138,11.2484285,11.26540726,11.04468338,11.13806656,26873307,352216638.0,1.4387,-1.0558
2020-05-26,sh.601138,11.18900284,11.49462052,11.18900284,11.460663,28866538,386219560.0,1.5454,2.8963
2020-05-27,sh.601138,11.51159928,11.53706742,11.34181168,11.44368424,29072068,391646998.0,1.5564,-0.1482
2020-05-28,sh.601138,11.460663,11.57102494,11.2059816,11.42670548,22295594,299141615.0,1.1936,-0.1484
2020-05-29,sh.601138,11.3757692,11.4182161,11.21447098,11.38425858,33725710,449526378.0,1.8055,-0.3715
2020-06-01,sh.601138,11.42670548,11.82570634,11.4182161,11.78325944,48564303,669725475.0,2.5999,3.5048
2020-06-02,sh.601138,11.8002382,12.12283464,11.7577913,12.02096208,55763921,788167655.0,2.9853,2.0173
2020-06-03,sh.601138,12.11434526,12.31809038,11.90211076,12.07189836,61770454,882340437.0,3.3069,0.4237
2020-06-04,sh.601138,12.0973665,12.20772844,11.99549394,12.02096208,32605435,463959370.0,1.7455,-0.4219
2020-06-05,sh.601138,12.02096208,12.10585588,11.78325944,11.95304704,31333573,440290269.0,1.6775,-0.565
2020-06-08,sh.601138,12.0973665,12.3520479,12.0549196,12.10585588,41971578,602422985.0,2.247,1.2784
