date,code,open,high,low,close,volume,amount,turn,pctChg
2020-01-02,sh.600900,14.98732326,15.1009866,14.93049159,14.99544207,19128492.0,353770322.0,0.0869,0.4897
2020-01-03,sh.600900,15.0197985,15.14158065,14.97920445,15.07663017,15438377.0,286562117.0,0.0702,0.5414
2020-01-06,sh.600900,15.05227374,15.10910541,14.65445205,14.7762342,41550582.0,757921841.0,0.1889,-1.9925
2020-01-07,sh.600900,14.79247182,14.82494706,14.6950461,14.76811539,23210668.0,421457432.0,0.1055,-0.0549
2020-01-08,sh.600900,14.67880848,14.75187777,14.60573919,14.65445205,26440991.0,476879600.0,0.1202,-0.7697
2020-01-09,sh.600900,14.71128372,14.71940253,14.58950157,14.68692729,22783272.0,410739697.0,0.1036,0.2216
2020-01-10,sh.600900,14.67068967,14.71128372,14.59762038,14.613858,21789472.0,392420935.0,0.099,-0.4975
2020-01-13,sh.600900,14.64633324,14.72752134,14.60573919,14.67068967,22600048.0,407709430.0,0.1027,0.3889
2020-01-14,sh.600900,14.70316491,14.78435301,14.66257086,14.75999658,24428843.0,443161695.0,0.111,0.6087
2020-01-15,sh.600900,14.72752134,14.79247182,14.59762038,14.62197681,21077296.0,380964670.0,0.0958,-0.9351
2020-01-16,sh.600900,14.63009562,14.67880848,14.57326395,14.63009562,14824270.0,266911505.0,0.0674,0.0555
2020-01-17,sh.600900,14.5326699,14.62197681,14.36217489,14.40276894,38758259.0,688835469.0,0.1762,-1.5538
2020-01-20,sh.600900,14.44336299,14.56514514,14.31346203,14.50831347,24809048.0,441190182.0,0.1128,0.7328
2020-01-21,sh.600900,14.41900656,14.50019466,14.37841251,14.44336299,16378934.0,291027072.0,0.0744,-0.4477
2020-01-22,sh.600900,14.43524418,14.43524418,14.21603631,14.2891056,23808493.0,419236233.0,0.1082,-1.068
2020-01-23,sh.600900,14.19979869,14.26474917,13.87504629,13.92375915,35236838.0,611103970.0,0.1602,-2.5568
2020-02-03,sh.600900,13.3148484,13.93999677,12.99821481,13.90752153,71860611.0,1204779054.0,0.3266,-0.1166
2020-02-04,sh.600900,13.79385819,14.4514818,13.70455128,14.05366011,31544099.0,546552865.0,0.1434,1.0508
2020-02-05,sh.600900,14.01306606,14.16732345,13.92375915,14.05366011,23123122.0,399598997.0,0.1051,0.0
2020-02-06,sh.600900,14.16732345,14.16732345,13.98870963,14.15920464,19288954.0,334597543.0,0.0877,0.751
2020-02-07,sh.600900,13.9643532,14.57326395,13.9643532,14.52455109,23702762.0,417417116.0,0.1077,2.5803
2020-02-10,sh.600900,14.35405608,14.47583823,14.28098679,14.31346203,15774796.0,278841675.0,0.0717,-1.4533
2020-02-11,sh.600900,14.33781846,14.47583823,14.26474917,14.2891056,13079044.0,231213180.0,0.0595,-0.1702
2020-02-12,sh.600900,14.27286798,14.28098679,14.11861059,14.27286798,15671592.0,273942278.0,0.0712,-0.1136
2020-02-13,sh.600900,14.21603631,14.32158084,14.16732345,14.2891056,12350031.0,216722523.0,0.0561,0.1138
2020-02-14,sh.600900,14.22415512,14.32158084,14.17544226,14.30534322,9857564.0,173155130.0,0.0448,0.1136
2020-02-17,sh.600900,14.2891056,14.37841251,14.24851155,14.36217489,14494830.0,255799598.0,0.0659,0.3973
2020-02-18,sh.600900,14.30534322,14.34593727,14.21603631,14.22415512,12598724.0,221489390.0,0.0573,-0.961
2020-02-19,sh.600900,14.21603631,14.28098679,14.17544226,14.22415512,13894298.0,243225363.0,0.0632,0.0
2020-02-20,sh.600900,14.2079175,14.33781846,14.16732345,14.30534322,14517585.0,254753101.0,0.066,0.5708
2020-02-21,sh.600900,14.25663036,14.29722441,14.16732345,14.23227393,18204342.0,318976991.0,0.0827,-0.5108
2020-02-24,sh.600900,14.19979869,14.23227393,14.11049178,14.13484821,17173530.0,299429208.0,0.0781,-0.6845
2020-02-25,sh.600900,14.07801654,14.17544226,13.94811558,13.94811558,19210566.0,331920840.0,0.0873,-1.3211
2020-02-26,sh.600900,13.84257105,13.91564034,13.79385819,13.801977,32040301.0,546935808.0,0.1456,-1.0477
2020-02-27,sh.600900,13.81009581,14.00494725,13.76138295,13.98870963,18545172.0,318034810.0,0.0843,1.3529
2020-02-28,sh.600900,13.86692748,13.99682844,13.7207889,13.82633343,27402279.0,467105945.0,0.1246,-1.1608
2020-03-02,sh.600900,13.84257105,14.13484821,13.84257105,14.01306606,29042657.0,502793093.0,0.132,1.3506
2020-03-03,sh.600900,14.06177892,14.35405608,14.06177892,14.26474917,23409959.0,410037190.0,0.1064,1.7961
2020-03-04,sh.600900,14.32969965,14.41088775,14.24039274,14.28098679,24047129.0,424131217.0,0.1093,0.1138
2020-03-05,sh.600900,14.32158084,14.41088775,14.27286798,14.38653132,26793047.0,473604140.0,0.1218,0.7391
2020-03-06,sh.600900,14.2891056,14.38653132,14.15108583,14.19167988,20378053.0,357191719.0,0.0926,-1.3544
2020-03-09,sh.600900,13.9643532,14.30534322,13.81821462,14.16732345,36880969.0,638503906.0,0.1676,-0.1716
2020-03-10,sh.600900,14.02118487,14.41900656,14.02118487,14.32158084,42178924.0,743701852.0,0.1917,1.0888
2020-03-11,sh.600900,14.41900656,14.43524418,14.22415512,14.28098679,17664235.0,311176861.0,0.0803,-0.2834
2020-03-12,sh.600900,14.21603631,14.28098679,14.05366011,14.16732345,24377800.0,425631021.0,0.1108,-0.7959
2020-03-13,sh.600900,13.85068986,14.0455413,13.76950176,13.801977,46350510.0,790908999.0,0.2107,-2.5788
2020-03-16,sh.600900,13.85880867,13.91564034,13.70455128,13.73702652,32306636.0,549543352.0,0.1468,-0.4706
2020-03-17,sh.600900,13.68831366,14.00494725,13.68831366,13.74514533,35655016.0,608143555.0,0.1621,0.0591
2020-03-18,sh.600900,13.70455128,13.79385819,13.5584127,13.57465032,39957888.0,673846066.0,0.1816,-1.2404
2020-03-19,sh.600900,13.51781865,13.62336318,13.14435339,13.28237316,37504843.0,614925413.0,0.1705,-2.1531
2020-03-20,sh.600900,13.41227412,13.56653151,13.2336603,13.38791769,25714034.0,423399258.0,0.1169,0.7946
2020-03-23,sh.600900,13.12811577,13.51781865,13.03880886,13.41227412,23149127.0,381578652.0,0.1052,0.1819
2020-03-24,sh.600900,13.50969984,13.79385819,13.4772246,13.72890771,39793537.0,672333067.0,0.1809,2.3608
2020-03-25,sh.600900,13.8831651,13.91564034,13.67207604,13.82633343,25514128.0,433878663.0,0.116,0.7096
2020-03-26,sh.600900,13.71267009,13.81009581,13.58276913,13.66395723,22871426.0,384597099.0,0.104,-1.1744
2020-03-27,sh.600900,13.7207889,13.77762057,13.62336318,13.72890771,19258533.0,324981137.0,0.0875,0.4753
2020-03-30,sh.600900,13.68831366,13.89128391,13.63148199,13.8831651,21155104.0,359224814.0,0.0962,1.1236
2020-03-31,sh.600900,13.8831651,14.10237297,13.85880867,14.03742249,14925355.0,257923557.0,0.0678,1.1111
2020-04-01,sh.600900,14.03742249,14.08613535,13.76950176,13.82633343,15777981.0,269929010.0,0.0717,-1.5038
2020-04-02,sh.600900,13.76950176,14.09425416,13.76950176,14.01306606,10826519.0,186250121.0,0.0492,1.3506
2020-04-03,sh.600900,14.01306606,14.06989773,13.89940272,13.98059082,9093944.0,156552736.0,0.0413,-0.2318
2020-04-07,sh.600900,14.15920464,14.15920464,13.97247201,14.00494725,12646615.0,218913553.0,0.0575,0.1742
2020-04-08,sh.600900,14.00494725,14.02118487,13.81821462,13.97247201,13834081.0,237241639.0,0.0629,-0.2319
2020-04-09,sh.600900,13.97247201,13.97247201,13.81821462,13.85068986,7143370.0,122088484.0,0.0325,-0.8716
2020-04-10,sh.600900,13.85068986,13.89940272,13.801977,13.84257105,12450939.0,212410655.0,0.0566,-0.0586
2020-04-13,sh.600900,13.81009581,13.90752153,13.81009581,13.89128391,7554491.0,128883315.0,0.0343,0.3519
2020-04-14,sh.600900,13.93999677,14.02118487,13.87504629,13.98870963,15833357.0,271919524.0,0.072,0.7013
2020-04-15,sh.600900,13.94811558,14.06177892,13.83445224,13.85880867,10667206.0,182894055.0,0.0485,-0.9286
2020-04-16,sh.600900,13.81821462,13.98870963,13.81821462,13.92375915,10597496.0,181431738.0,0.0482,0.4687
2020-04-17,sh.600900,13.92375915,13.94811558,13.84257105,13.89940272,15844150.0,270879925.0,0.072,-0.1749
2020-04-20,sh.600900,13.89128391,13.91564034,13.801977,13.801977,15790009.0,269024911.0,0.0718,-0.7009
2020-04-21,sh.600900,13.77762057,13.8831651,13.76950176,13.87504629,11237909.0,191375853.0,0.0511,0.5294
2020-04-22,sh.600900,13.86692748,13.98059082,13.81821462,13.98059082,12213824.0,209633271.0,0.0555,0.7607
2020-04-23,sh.600900,14.03742249,14.11049178,13.93999677,14.0455413,15129946.0,261579065.0,0.0688,0.4646
2020-04-24,sh.600900,14.0455413,14.24851155,14.02118487,14.23227393,13959846.0,243745234.0,0.0635,1.3295
2020-04-27,sh.600900,14.26474917,14.56514514,14.25663036,14.29722441,17453354.0,309629065.0,0.0793,0.4564
2020-04-28,sh.600900,14.28098679,14.50019466,14.17544226,14.41088775,14354178.0,253825987.0,0.0652,0.795
2020-04-29,sh.600900,14.43524418,14.44336299,14.11861059,14.29722441,10922115.0,191651259.0,0.0496,-0.7887
2020-04-30,sh.600900,14.2079175,14.32969965,14.11049178,14.16732345,16404315.0,286979495.0,0.0746,-0.9086
2020-05-06,sh.600900,14.05366011,14.2079175,13.93187796,13.99682844,25305238.0,436425773.0,0.115,-1.2034
2020-05-07,sh.600900,13.94811558,13.94811558,13.801977,13.82633343,31859442.0,542687563.0,0.1448,-1.2181
2020-05-08,sh.600900,13.8831651,13.93999677,13.85068986,13.87504629,16272496.0,278424599.0,0.074,0.3523
2020-05-11,sh.600900,13.89940272,13.98870963,13.84257105,13.93187796,19485934.0,334358057.0,0.0886,0.4096
2020-05-12,sh.600900,13.98870963,14.08613535,13.93187796,13.98059082,16408449.0,282727244.0,0.0746,0.3496
2020-05-13,sh.600900,13.97247201,13.99682844,13.87504629,13.94811558,14783972.0,254033784.0,0.0672,-0.2323
2020-05-14,sh.600900,14.01306606,14.01306606,13.85880867,13.92375915,13664117.0,234065427.0,0.0621,-0.1746
2020-05-15,sh.600900,13.92375915,13.94811558,13.86692748,13.93187796,14899432.0,255213495.0,0.0677,0.0583
2020-05-18,sh.600900,13.89128391,13.90752153,13.79385819,13.83445224,17083155.0,291436460.0,0.0777,-0.6993
2020-05-19,sh.600900,13.90752153,13.90752153,13.81821462,13.81821462,16911153.0,288305204.0,0.0769,-0.1174
2020-05-20,sh.600900,13.82633343,13.85068986,13.79385819,13.83445224,15499009.0,263716360.0,0.0705,0.1175
2020-05-21,sh.600900,13.85880867,13.86692748,13.76950176,13.81821462,17408396.0,296217843.0,0.0791,-0.1174
2020-05-22,sh.600900,13.78573938,13.801977,13.61524437,13.61524437,20304126.0,342636197.0,0.0923,-1.4689
2020-05-25,sh.600900,13.74514533,13.87504629,13.5584127,13.85880867,16468327.0,279434556.0,0.0749,1.7889
2020-05-26,sh.600900,13.93999677,13.94811558,13.78573938,13.85068986,16366072.0,278841236.0,0.0744,-0.0586
2020-05-27,sh.600900,13.801977,13.85068986,13.76950176,13.78573938,13344837.0,226861653.0,0.0607,-0.4689
2020-05-28,sh.600900,13.8831651,14.16732345,13.86692748,14.16732345,33264493.0,575707326.0,0.1512,2.768
2020-05-29,sh.600900,14.16732345,14.16732345,13.98059082,14.11861059,27617430.0,478044940.0,0.1255,-0.3438
2020-06-01,sh.600900,14.15108583,14.54890752,14.1267294,14.4514818,35636033.0,631372191.0,0.162,2.3577
2020-06-02,sh.600900,14.3702937,14.613858,14.32158084,14.613858,26802222.0,477731436.0,0.1218,1.1236
2020-06-03,sh.600900,14.66257086,14.84118468,14.57326395,14.74375896,23115908.0,419732585.0,0.1051,0.8889
2020-06-04,sh.600900,14.74375896,14.79247182,14.4514818,14.4514818,21446062.0,384633406.0,0.0975,-1.9824
2020-06-05,sh.600900,14.52455109,14.57326395,14.33781846,14.41088775,14609741.0,259506531.0,0.0664,-0.2809
2020-06-08,sh.600900,14.4514818,14.65445205,14.24039274,14.52455109,24252763.0,430814866.0,0.1102,0.7887
2020-06-09,sh.600900,14.49207585,14.67068967,14.42712537,14.63009562,14341134.0,257627180.0,0.0652,0.7267
2020-06-10,sh.600900,14.64633324,14.64633324,14.42712537,14.50831347,15471059.0,276804780.0,0.0703,-0.8324
2020-06-11,sh.600900,14.51643228,14.55702633,14.2891056,14.2891056,16938731.0,300095617.0,0.077,-1.5109
2020-06-12,sh.600900,13.99682844,14.27286798,13.9643532,14.23227393,28964813.0,504748262.0,0.1317,-0.3977
2020-06-15,sh.600900,14.08613535,14.15920464,13.98059082,13.98870963,18774946.0,325104795.0,0.0853,-1.7114
2020-06-16,sh.600900,14.11049178,14.37841251,14.09425416,14.32158084,15780638.0,277195211.0,0.0717,2.3796
2020-06-17,sh.600900,14.28098679,14.70316491,14.22415512,14.54890752,24628444.0,440551375.0,0.1119,1.5873
2020-06-18,sh.600900,14.56514514,14.8574223,14.56514514,14.76811539,22714582.0,413255593.0,0.1032,1.5067
2020-06-19,sh.600900,14.82494706,14.9386104,14.67880848,14.75187777,26659884.0,485691320.0,0.1212,-0.11
2020-06-22,sh.600900,14.80870944,14.90613516,14.613858,14.78435301,17608368.0,320894920.0,0.08,0.2201
2020-06-23,sh.600900,14.67068967,15.3445509,14.52455109,15.22276875,35929713.0,666761747.0,0.1633,2.9654
2020-06-24,sh.600900,15.3445509,15.79108545,15.3445509,15.49880829,31514677.0,605084501.0,0.1432,1.8133
2020-06-29,sh.600900,15.49068948,15.65306568,15.37702614,15.40950138,23172359.0,441421885.0,0.1053,-0.5762
2020-06-30,sh.600900,15.49880829,15.67742211,15.33643209,15.37702614,20943431.0,399355767.0,0.0952,-0.2107
2020-07-01,sh.600900,15.46633305,15.79108545,15.35266971,15.79108545,23263361.0,445764241.0,0.1057,2.6927
2020-07-02,sh.600900,15.76672902,15.82356069,15.47445186,15.54752115,37449143.0,719134679.0,0.1702,-1.5424
2020-07-03,sh.600900,15.54752115,15.67742211,15.35266971,15.49880829,30354461.0,578963247.0,0.138,-0.3133
2020-07-06,sh.600900,15.54752115,15.88851117,15.53128353,15.67742211,45461251.0,882185709.0,0.2066,1.1524
2020-07-07,sh.600900,15.79108545,15.97781808,15.68554092,15.68554092,48896406.0,952891315.0,0.2223,0.0518
2020-07-08,sh.600900,15.70177854,15.8316795,15.54752115,15.57187758,34453713.0,664800508.0,0.1566,-0.7246
2020-07-09,sh.600900,15.5881152,15.65306568,15.35266971,15.45009543,37718983.0,717971670.0,0.1714,-0.7821
2020-07-10,sh.600900,15.45009543,15.69365973,15.32831328,15.33643209,35662426.0,680407526.0,0.1621,-0.7357
2020-07-13,sh.600900,15.425739,15.73425378,15.425739,15.55563996,38983454.0,747944786.0,0.1772,1.4293
2020-07-14,sh.600900,15.5069271,15.95346165,15.5069271,15.75861021,50222078.0,971444478.0,0.2283,1.3048
2020-07-15,sh.600900,15.8316795,16.22950119,15.77484783,16.20514476,49864886.0,988302452.0,0.2267,2.8336
2020-07-16,sh.600900,16.22950119,16.23762,15.52316472,15.53128353,54179778.0,1051765083.0,0.2463,-4.1583
2020-07-17,sh.600900,15.58179204,15.783825,15.50602968,15.66597244,30812474.0,572105278.0,0.1401,0.8672
2020-07-20,sh.600900,15.6575544,15.8259152,15.50602968,15.69122656,37164043.0,691938575.0,0.1689,0.1612
2020-07-21,sh.600900,15.7417348,15.96060384,15.6575544,15.71648068,31920722.0,596831281.34,0.1451,0.1609
