,code,dividPreNoticeDate,dividAgmPumDate,dividPlanAnnounceDate,dividPlanDate,dividRegistDate,dividOperateDate,dividPayDate,dividStockMarketDate,dividCashPsBeforeTax,dividCashPsAfterTax,dividStocksPs,dividCashStock,dividReserveToStockPs,dividend_per_share,ex_date
0,sh.600900,,2020-05-22,2020-04-30,2020-07-13,2020-07-16,2020-07-17,2020-07-17,,0.68,0.612或0.68,0.000000,10派6.8元（含税，扣税后6.12或6.8元）,,0.68,2020-07-16
1,sh.600900,,2021-06-01,2021-04-30,2021-07-09,2021-07-15,2021-07-16,2021-07-16,,0.7,0.63或0.7,0.000000,10派7元（含税，扣税后6.3或7元）,,0.7,2021-07-15
2,sh.600900,,2022-05-26,2022-04-30,2022-07-13,2022-07-20,2022-07-21,2022-07-21,,0.8153,0.73377或0.8153,0.000000,10派8.153元（含税，扣税后7.3377或8.153元）,,0.8153,2022-07-20
3,sh.600900,,2023-05-24,2023-04-28,2023-07-17,2023-07-20,2023-07-21,2023-07-21,,0.8533,0.76797或0.8533,0.000000,10派8.533元（含税，扣税后7.6797或8.533元）,,0.8533,2023-07-20
4,sh.600900,,2024-05-24,2024-04-30,2024-07-11,2024-07-18,2024-07-19,2024-07-19,,0.82,0.738或0.82,0.000000,10派8.2元（含税，扣税后7.38或8.2元）,,0.82,2024-07-18
5,sh.600900,,2024-12-31,2024-12-14,2025-01-16,2025-01-23,2025-01-24,2025-01-24,,0.21,0.189或0.21,0.000000,10派2.1元（含税，扣税后1.89或2.1元）,,0.21,2025-01-23
6,sh.600900,,2025-05-23,2025-04-30,2025-07-11,2025-07-17,2025-07-18,2025-07-18,,0.733,0.6597或0.733,0.000000,10派7.33元（含税，扣税后6.597或7.33元）,,0.733,2025-07-17
7,sh.600900,,,2025-12-31,2026-02-05,2026-02-11,2026-02-12,2026-02-12,,0.21,0.189或0.21,0.000000,10派2.1元（含税，扣税后1.89或2.1元）,,0.21,2026-02-11
